id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat,telephone
230,Just Fun Club,"Shop 30, G/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East, San Po Kong",$51-$100,Upper-floor Cafe,Pets Friendly Dining,,,San Po Kong,75,Others,Wong Tai Sin,114.1968622,22.3335547,2589-3954
231,Wong King Canteen,"G/F, Wong King Ind Bldg, 2 Tai Yau Street,, San Po Kong",Below $50,International,Tea Restaurant,,,San Po Kong,40,International,Wong Tai Sin,114.1987757,22.3388697,8781-8664
232,DeliFans,"Shop E8, G/F, Wah Hing Industrial Mansions, 36 Tai Yau Street, San Po Kong",$101-$200,International,Seafood,Sushi/Sashimi,Takeaway,San Po Kong,300,International,Wong Tai Sin,114.1967581,22.3362185,8784-0567
233,Choi Yan,____________242__________________,Below $50,Guangdong,,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.2590697,22.3109206,7966-1670
234,Chuen Kee Noodle,"Shop 1C, G/F, Wing Shing Ind Bldg, 26 Ng Fong Street,, San Po Kong",Below $50,Guangdong,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.200427,22.3375359,1655-0496
235,Master Chan Dim Sum Specialists,"G/F., 41 King Fuk Street, San Po Kong",Below $50,Guangdong,Dim Sum,Chinese Buns,Stir-Fry,San Po Kong,40,Hong Kong,Wong Tai Sin,114.196743,22.3339749,9977-5370
236,Candies Gourmet,"Shop 103, G/F, Rhythm Garden, 242 Choi Hung Road, San Po Kong",Below $50,Hong Kong Style,Sandwich,Juice,Salad,San Po Kong,40,Hong Kong,Wong Tai Sin,114.202563,22.335692,7108-5331
237,Bar Pacific,"G/F, Yin Hing Building, 70 Choi Hung Road, San Po Kong",$101-$200,International,Bar,Private Party,,San Po Kong,300,International,Wong Tai Sin,114.1946255,22.3356025,7137-8717
238,MATSURI,"G435-G436, G/F, Rhythm Garden, 242 Choi Hung Road, San Po Kong",$51-$100,Japanese,Ramen,Skewer,Skewer,San Po Kong,75,Asian,Wong Tai Sin,114.2018534,22.336,9534-4866
239,Kam Lee Restaurant,"G/F, 9 Hong Keung Street, San Po Kong",Below $50,Hong Kong Style,Noodles/Rice Noodles,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1976749,22.3348987,4287-2167
240,TC2 (Tea Coffee Two),"Shop 8, G/F, 98 Tseuk Luk Street, San Po Kong",Below $50,Western,Dessert,Coffee Shop,Casual Drink,San Po Kong,40,Western,Wong Tai Sin,114.1976005,22.3350375,5583-0019
241,Cafde Coral,"UG/F, Wah Hing Industrial Bldg, 36 Tai Yau St,, San Po Kong",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1967581,22.3362185,1493-4757
242,Sweet Dim Dim Sum,"G/F, 22 Shung Ling Street, San Po Kong",Below $50,Hong Kong Style,Dim Sum,Tea Restaurant,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1958639,22.3354744,4672-2910
243,Seng Thai Chong Indonesia & Thai Cusine,"Shop CF18-19, 1/F, Choi Hung Road Market, San Po Kong",Below $50,Thai,Indonesian,Seafood,Noodles/Rice Noodles,San Po Kong,40,Asian,Wong Tai Sin,114.1989259,22.3364426,6036-7126
244,Sun Hee Lok Canteen,"G/F, Kar Chau Ind Bldg, 6 Sheung Hei Street,, San Po Kong",Below $50,Fast Food,,,,San Po Kong,40,Western,Wong Tai Sin,114.198331,22.3386633,4986-1038
245,Elephant Bar,"G/F, 55 King Fuk Street,, San Po Kong",$51-$100,Western,Bar,,,San Po Kong,75,Western,Wong Tai Sin,114.1968928,22.3341839,1258-0651
246,Hakka Feast,"Shop CF11, Market Cooked Food Centre, Choi Hung Road, San Po Kong",$51-$100,Hong Kong Style,Stir-Fry,Cooked Food Center,,San Po Kong,75,Hong Kong,Wong Tai Sin,114.2003184,22.3386863,6111-9223
247,Tea Tea,"Shop A07B, G/F, San Po Kong Plaza, 33 Shung Ling Street, San Po Kong",Below $50,Taiwan,Taiwanese Drink,,,San Po Kong,40,Chinese,Wong Tai Sin,114.195797,22.334961,6613-1091
248,Bubble Tea PlusX,"Shop A1, G/F, 1 Yin Hing Street, San Po Kong",Below $50,Taiwan,Taiwanese Drink,Noodles/Rice Noodles,Skewer,San Po Kong,40,Chinese,Wong Tai Sin,114.1949955,22.3357099,5427-3639
249,PartyFever,"3/F , Sheung Hei Factory Building, 19 Sheung Hei Street, San Po Kong",$101-$200,Hong Kong Style,,,,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1975595,22.3374534,7807-7446
250,Chiu Tat Canteen,"M/F, 108-110 King Fuk Street, San Po Kong",Below $50,Hong Kong Style,Fast Food,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1992144,22.334593,5196-5245
251,Hoi Tin Tong,"Shop A, G/F, 21 Shung Ling Street, San Po Kong",Below $50,Guangdong,Herbal Tea,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.196116,22.335452,7681-1616
252,Po Hing Food Shop,"Shop 6-8, 2/F Choi Hung Road Market Cooked Food Ce, San Po Kong",Below $50,Hong Kong Style,Food Stall Noodles,Vegetarian,Coffee Shop,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1989259,22.3364426,3579-0560
253,Golden Cake Shop,____________242__________________,Below $50,Western,Bakery,,,San Po Kong,40,Western,Wong Tai Sin,114.2590697,22.3109206,5415-5740
254,Fai Kee Wanton Noodles,____________34________________,Below $50,Hong Kong Style,Noodles/Rice Noodles,Wonton/Dumpling,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1728422,22.2951702,8398-9414
255,Taipan Bread & Cakes,"G/F, 82 Tseuk Luk Street, San Po Kong",Below $50,Western,Bakery,,,San Po Kong,40,Western,Wong Tai Sin,114.1971457,22.3354858,7239-5745
256,Kwong Ming Restaurant,"9 Kim Wing Street , San Po Kong",Below $50,Hong Kong Style,Tea Restaurant,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1952576,22.3361796,9244-7902
257,Hokaido Bakery,____________3-23______________,Below $50,Hong Kong Style,Bakery,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1180588,22.3520038,1038-6814
258,Kitchen di' Saddle,"Shop C05B, G/F, Startex Industrial Building, 14 Tai Yau Street, San Po Kong",Below $50,Italian,Takeaway,,,San Po Kong,40,Western,Wong Tai Sin,114.1987634,22.3384066,8080-6907
259,MS Asian Cuisine,"Shop11, New Tech Plaza, 34 Tai Yau Street, San Po Kong",Below $50,Vietnamese,Thai,Singaporean,,San Po Kong,40,Asian,Wong Tai Sin,114.197206,22.336706,1028-1055
260,Dim Sum Center,"No. 22, G/F, Shung Ling Street, San Po Kong",Below $50,Guangdong,Dim Sum,,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.1958639,22.3354744,4798-3893
261,Kamwowo,"Shop 118, 1/F, Mikiki, 638 Prince Edward Road East, San Po Kong",$101-$200,Guangdong,Japanese,Hot Pot,,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1968622,22.3335547,4624-7785
262,Hop Lee Noodle,"G/F, 19A Yin Hing St, S, San Po Kong",Below $50,Chiu Chow,Noodles/Rice Noodles,,,San Po Kong,40,Chinese,Wong Tai Sin,114.1950302,22.3358437,4541-5229
263,Victory Asian Limited T/A The Lifestyle Kitchen,"Shop No.10, Yin Hing Mansion,40 Yin Hing Street, San Po Kong",Below $50,Guangdong,Hot Pot,Stir-Fry,,San Po Kong,40,Hong Kong,Wong Tai Sin,114.194884,22.3355787,6043-0153
264,Genki Sushi,"Shop Nos. 105-105A, 1/F, Mikiki,  638 Prince Edward Road West, San Po Kong",$101-$200,Japanese,Sushi/Sashimi,,,San Po Kong,300,Asian,Wong Tai Sin,114.1968622,22.3335547,7011-2301
265,King's Dumpling,"Shop 7, LG/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East,, San Po Kong",$101-$200,Taiwan,Stir-Fry,,,San Po Kong,300,Chinese,Wong Tai Sin,114.1968622,22.3335547,6089-9828
266,Jika Udon,"Shop G10, G/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East, San Po Kong",$51-$100,Japanese,Udon,,,San Po Kong,75,Asian,Wong Tai Sin,114.1968622,22.3335547,8387-9506
267,Bel Pasto,"Shop 3, G/F, Winning Center, 29 Tai Yau Street, San Po Kong",Below $50,Western,Western Restaurant,Fast Food,,San Po Kong,40,Western,Wong Tai Sin,114.1982776,22.3371005,1378-0513
268,Fulum Fishman's Wharf Restaurant,"5/F, Yue Xiu Plaa, 3-23 Ning Yuen Street, San Po Kong",$101-$200,Guangdong,Seafood,Dim Sum,Dim Sum Restaurant,San Po Kong,300,Hong Kong,Wong Tai Sin,114.1955949,22.3337886,5588-6610
269,Provence Restaurant,"17A Hong Keung Street, San Po Kong",$201-$400,French,,,,San Po Kong,150,Western,Wong Tai Sin,114.1975224,22.3346881,3111-4142
270,McDonald's,"Shop G02-G05, G/F, Yue Xiu Plaza, 3-23 Ning Yuen Street,, San Po Kong",Below $50,American,Hamburger,Fast Food,,San Po Kong,40,Western,Wong Tai Sin,114.1955949,22.3337886,5816-3721
271,Bel Pasto,"No.3, G/F, Winning Center, 29 Tai Yau Street, San Po Kong, Kowloon, San Po Kong",Below $50,Western,American,Western Restaurant,Fast Food,San Po Kong,40,Western,Wong Tai Sin,114.1989259,22.3364426,6731-6274
272,Itacho Sushi,"Shop G35, G/F, Mikiki, The Latitude Tower, 638 Prince Edward Road East,, San Po Kong",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,San Po Kong,300,Asian,Wong Tai Sin,114.1968622,22.3335547,6651-4326
273,PUTIEN,"Shop 214, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Fujian,Seafood,Fine Dried Seafood,Stir-Fry,Diamond Hill,300,Chinese,Wong Tai Sin,114.2025004,22.341075,6256-3535
274,DONDONYA SHOKUDO,"Shop 371, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Japanese,Curry,Udon,Food Wise Eateries,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,5874-2705
275,Chi Lin Vegetarian-,"Long Men Lou, Nan Lian Garden, 60 Fung Tak Road,, Diamond Hill",$101-$200,Guangdong,Vegetarian,Family Style Dining,,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.205337,22.3391646,3003-3578
276,Nichigyu Shabu Shabu & Sukiyaki Restaurant,"Shop 311A, Level 3, Plaza Hollywood, Diamond Hill",$101-$200,Japanese,Hot Pot,Buffet,,Diamond Hill,300,Asian,Wong Tai Sin,114.2010908,22.3411805,5270-2092
277,Xiao Wang Beef Noodle,"Shop 373, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Taiwan,Noodles/Rice Noodles,,,Diamond Hill,75,Chinese,Wong Tai Sin,114.2025004,22.341075,5911-7311
278,Xia Mian Guan,________________1__173A____,$51-$100,Shanghai,Noodles/Rice Noodles,Stir-Fry,,Diamond Hill,75,Chinese,Wong Tai Sin,114.1788262,22.3339962,9631-5479
279,McDonald's,"Shop 216-271, Hollywood Plaza,, Diamond Hill",Below $50,American,Hamburger,Fast Food,,Diamond Hill,40,Western,Wong Tai Sin,114.2022955,22.340722,6485-2628
280,Godiva Chocolatier,"FT 237, L2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill, Kowloon, Diamond Hill",$51-$100,Western,Chocolate/Candy Shop,,,Diamond Hill,75,Western,Wong Tai Sin,114.2010908,22.3411805,6242-9748
281,Food Republic,"3/F, Plaza Hollywood, Diamond Hill",$51-$100,International,Food Court,,,Diamond Hill,75,International,Wong Tai Sin,114.2022955,22.340722,8776-2764
282,Kintan Japanese BBQ Restaurant,"Shop 311B, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Japanese,Roast Meat,All-you-can-eat,,Diamond Hill,300,Asian,Wong Tai Sin,114.2025004,22.341075,5088-1693
283,Starbucks Coffee,"Shop 298, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,American,Salad,Coffee Shop,Casual Drink,Diamond Hill,40,Western,Wong Tai Sin,114.2025004,22.341075,1328-9157
284,Modern China Restaurant,"Shop 312A, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Jingchuanhu,Chinese Buns,Stir-Fry,Group Dining,Diamond Hill,300,Chinese,Wong Tai Sin,114.2025004,22.341075,4107-4806
285,Viet's Choice,"Shop 232, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Vietnamese,Noodles/Rice Noodles,,,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,6070-8941
286,Pepper Lunch,____________3____________3__,$51-$100,Japanese,Teppanyaki,,,Diamond Hill,75,Asian,Wong Tai Sin,114.1180588,22.3520038,4991-5159
287,Antoshimo Cafe & Bakery,"Shop 182, 1/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Japanese,Bakery,Coffee Shop,,Diamond Hill,40,Asian,Wong Tai Sin,114.2025004,22.341075,8433-5493
288,BAR,"Shop 402, 3/F., Hollywood Plaza, 3 Lung Poon Street, Diamond Hill",$51-$100,Japanese,Meatless Menu,Yoshoku,,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,7645-9626
289,Kee Wah,"Shop 226, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Bakery,Chinese Cake,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2025004,22.341075,6754-8198
290,H agen-DazsH agen-Dazs,"Shop 183, Level 1, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Western,Ice Cream/yogurt,,,Diamond Hill,75,Western,Wong Tai Sin,114.2025004,22.341075,6513-9482
291,Sapporo Ramen Miso No.1 x Karami CurryMiso No.1 x,"Shop 325, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Japanese,Ramen,Curry,Yoshoku,Diamond Hill,300,Asian,Wong Tai Sin,114.2025004,22.341075,4250-7034
292,Toast Box,"Shop 282, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Singaporean,Bakery,Coffee Shop,,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,1558-2370
293,Yummy Delight,"Shop 326-327, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Japanese,Udon,,,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,9949-3621
294,Sushi Take Out,"Shop 10, Diamond Hill MTR Station, Diamond Hill",Below $50,Japanese,Sushi/Sashimi,,,Diamond Hill,40,Asian,Wong Tai Sin,114.2010908,22.3411805,6555-3799
295,Genki Sushi,"Shop 234, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Diamond Hill,300,Asian,Wong Tai Sin,114.2025004,22.341075,6607-1411
296,Xpress Teppanyaki,"3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Japanese,Teppanyaki,,,Diamond Hill,75,Asian,Wong Tai Sin,114.2022955,22.340722,2889-3005
297,Marks & Spencer Plaza - Food Department Marks & Spencer -,"Unit 101, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Western,International,Wine/Cigar,Vegetarian,Diamond Hill,75,Western,Wong Tai Sin,114.2022955,22.340722,7924-3812
298,Wing Wah,"Shop 307, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Bakery,Chinese Cake,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2025004,22.341075,4479-3798
299,Federal Banquet,"Shop 306, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Guangdong,Dim Sum,Chinese Buns,Stir-Fry,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.2025004,22.341075,1349-3326
300,Hui Lau Shan,"3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Dessert,Sweet Soup,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2022955,22.340722,3729-2793
301,Maxim's Cake Shop,"Kiosk DIHI, Diamond Hill MTR Station, Diamond Hill",Below $50,Hong Kong Style,Bakery,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,3604-1462
302,McCafe,____________________216-217____,Below $50,American,Bakery,Coffee Shop,,Diamond Hill,40,Western,Wong Tai Sin,114.1827058,22.2783084,7452-7178
303,Pier 88,"Shop 203, 2-3/F., Fung Tak Shopping Centre, Fung Tak Estate, Diamond Hill",$101-$200,Guangdong,Hot Pot,Seafood,Dim Sum,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,3628-5936
304,Tong Kee Bao Dim,"Shop 323, 3/F, Plaza Hollywood, Diamond Hill",Below $50,Hong Kong Style,Dim Sum,Chinese Buns,Takeaway,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,3701-9145
305,Gourmet Place,"38/F,Club Aria, Aria, 51 Fung Shing Street,Ngau Chi Wan, Diamond Hill",$101-$200,International,Club House,,,Diamond Hill,300,International,Wong Tai Sin,114.2010908,22.3411805,7942-4084
306,Hung Fook Tong,"Shop 9, Diamond Hill MTR Station, Diamond Hill",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,9519-6041
307,McDonald's,"Shop 202, Fung Tak Shopping Centre, Fung Tak Estat, Diamond Hill",Below $50,American,Hamburger,Fast Food,,Diamond Hill,40,Western,Wong Tai Sin,114.2010908,22.3411805,3865-8171
308,Cafe MED,"Shop 101A, 1/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Western,Western Restaurant,,,Diamond Hill,75,Western,Wong Tai Sin,114.2025004,22.341075,8170-9517
309,Hsin Kwong Restaurant,"Shop 201, Lung Poon Court Commerical Complex, Diamond Hill",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,2788-8106
310,Arome Bakery,"Shop 318, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Western,Bakery,,,Diamond Hill,40,Western,Wong Tai Sin,114.2025004,22.341075,9361-8756
311,Lam Yuen Restaurant,"1A, G/F, Fu Lai House, Fushan Estate, Diamond Hill",Below $50,Hong Kong Style,Western Restaurant,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,2190-4355
312,Pizza Hut,"Shop 321, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Italian,Pizza,Takeaway,Western Restaurant,Diamond Hill,300,Western,Wong Tai Sin,114.2025004,22.341075,8375-2688
313,Heichinrou,"Shop 208, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Guangdong,Seafood,Fine Dried Seafood,Dim Sum,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.2025004,22.341075,9473-1799
314,Saint Honore Cake Shop,"Shop 15, Diamond Hill MTR Station, Diamond Hill",Below $50,Hong Kong Style,Bakery,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,3128-4609
315,Hsin Kuang Roast Food Restaurant,"Shop 103, Lung Poon Court Commercial Centre, Diamond Hill",Below $50,Hong Kong Style,Tea Restaurant,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,8956-6226
316,Hoixe Cake Shop,"Shop 207, Fung Tak Shopping Centre, Fung Tak Estate, Diamond Hill",Below $50,Hong Kong Style,Bakery,Takeaway,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,8102-9605
317,Super Super Congee & Noodle,"Shop 204C, Fuk Tai Shopping Centre, Fuk Tai Estate, Diamond Hill",Below $50,Hong Kong Style,Noodles/Rice Noodles,Congee,Fast Food,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,8154-5731
318,Cafde Coral,"Shop 204, Fung Tak Centre, Fung Tak Est, Diamond Hill",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,7385-6034
319,T.T.T,"Shop A6,G/F,Grand View Garden,185 Hammer Hill Road, Diamond Hill",Below $50,Hong Kong Style,Food Stall Noodles,Snack Shop & Deli,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.207605,22.341971,7256-3130
320,Fusion RiceBOWL,____________3____________3________________,Below $50,Japanese,Food Court,,,Diamond Hill,40,Asian,Wong Tai Sin,114.1180588,22.3520038,4245-5943
321,Fairwood,"Shop Nos. L206, L207 and L208, LG2/F, Fu Yan House, Fu Shan Estate, Diamond Hill",Below $50,Hong Kong Style,Fast Food,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,4255-0337
322,Noodle Expert,"3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Guangdong,Congee,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2022955,22.340722,1262-0872
323,First Edible Nest,"Shop 320, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$101-$200,Guangdong,Dessert,Fine Dried Seafood,,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.2025004,22.341075,2932-6544
324,Cheers,"Shop 337A, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$401-$800,Western,Wine/Cigar,,,Diamond Hill,600,Western,Wong Tai Sin,114.2025004,22.341075,5111-2209
325,I Ban Janpanese Food,"3/F, Food Republic, Plaza Hollywood, Diamond Hill",Below $50,Japanese,,,,Diamond Hill,40,Asian,Wong Tai Sin,114.2010908,22.3411805,8404-8151
326,Planet Popcorn,"Shop D, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Taiwan,Snack Shop & Deli,,,Diamond Hill,75,Chinese,Wong Tai Sin,114.2025004,22.341075,7033-1166
327,Yee Hing Restaurant,"Shop 1B, Fu Lai House, Fu Shan Estate, Diamond Hill",Below $50,Hong Kong Style,Tea Restaurant,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,8732-9829
328,Aji Ichiban,"Shop 344, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Snack Shop & Deli,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2025004,22.341075,4902-2557
329,Lo Hong Ka,"Shop 302A, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill, Diamond Hill",$51-$100,Guangdong,Dessert,,,Diamond Hill,75,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,9566-1585
330,Hong Kong Cuisine,"3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Food Court,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2022955,22.340722,8627-6079
331,Fu Wah Restaurant,______________________,$101-$200,Hong Kong Style,Dim Sum Restaurant,,,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.109497,22.396428,6381-0026
332,misocool,"Shop 288, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Japanese,Ramen,Wonton/Dumpling,,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,7826-3136
333,M18,"Shop L103-L104, G/F, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Western,Bakery,All Day Breakfast,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3835-3305
334,DONDONYA SHOKUDO,"Shop L211-L214, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Japanese,Curry,Udon,Food Wise Eateries,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,7403-8126
335,Oyster Station Snack & Oyster Bar,"Market Stall No 401-402, G/F, Lok Fu Plaza, Lok Fu Estate, 198 Junction Road, Kowloon, Lok Fu",$401-$800,International,Seafood,Oyster Bar,,Lok Fu,600,International,Wong Tai Sin,114.18742,22.337608,5703-3746
336,Azabu Sabo,"Shop L224, UG2/F., Lok Fu Plaza, 198 Junction Road, Lok Fu",$101-$200,Japanese,Dessert,Ice Cream/yogurt,Curry,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,9174-3835
337,Luen Hop Hing,"Shop 4, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Hong Kong Style,Noodles/Rice Noodles,Dai Pai Dong,,Lok Fu,75,Hong Kong,Wong Tai Sin,114.18742,22.337608,7152-8685
338,Buono Nuobo,"Shop 2101, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$101-$200,Japanese,Pizza,Meatless Menu,Yoshoku,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,2923-7775
339,Mou Mou Club,"Shop U109, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$101-$200,Japanese,Hot Pot,Meatless Menu,Food Wise Eateries,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,6051-3520
340,Sushi Dai,"Shop U108, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Japanese,Sushi/Sashimi,Meatless Menu,Food Wise Eateries,Lok Fu,40,Asian,Wong Tai Sin,114.18742,22.337608,7212-5736
341,AOK,"Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Tea Restaurant,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3092-4439
342,Hideyoshi,"UNY, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Japanese,Pizza,Snack Shop & Deli,,Lok Fu,40,Asian,Wong Tai Sin,114.18742,22.337608,1370-4208
343,Genki Sushi,"Shop No. 1157, 1/F, Lok Fu Shopping Centre Phase1, 198 Junction Road, Lok Fu",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,8837-8075
344,Xia Mian Guan,"Shop3125-3126, 3/F, Lok Fu Plaza, Lok Fu",$51-$100,Shanghai,Noodles/Rice Noodles,Stir-Fry,,Lok Fu,75,Chinese,Wong Tai Sin,114.1862935,22.3377402,7690-7965
345,Eat Chinese Restaurant,"G/F, 182-188 Junction Rd, Kam Kwok Bldg., Lok Fu",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Lok Fu,300,Hong Kong,Wong Tai Sin,114.188012,22.3356285,2460-7177
346,King Bakery,"Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3064-1072
347,TeaWood Taiwanese Cafe & Restaurant,"Shop 1108-1110, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Taiwan,Dessert,Coffee Shop,Food Wise Eateries,Lok Fu,75,Chinese,Wong Tai Sin,114.18742,22.337608,5754-1948
348,Slim Taste,"Shop 1104, 1/F, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Jingchuanhu,Ramen,,,Lok Fu,40,Chinese,Wong Tai Sin,114.18742,22.337608,9475-7547
349,Panash,"Shop 08, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Western,Bakery,Takeaway,,Lok Fu,40,Western,Wong Tai Sin,114.18742,22.337608,3589-0494
